stadsdeel,postcode_min,postcode_max
M,1095XA,1095XC
M,1095XE,1095XJ
M,1095XL,1095ZA
M,1096AA,1096AD
M,1096AG,1096AN
M,1096AS,1096AS
M,1096BA,1096BA
M,1096BC,1096BE
M,1096BH,1096BH
M,1096BK,1096BP
M,1096CJ,1096CK
M,1096CN,1096CN
M,1096CR,1096CR
M,1096DA,1096DP
M,1096GE,1096GH
M,1096GL,1096GL
M,1096HA,1096HA
M,1096HH,1096HM
M,1096HP,1096HZ
M,1097AA,1097DZ
M,1097EB,1097HT
M,1097HW,1097JG
M,1097JS,1097JS
M,1097JV,1097LX
M,1097MB,1097ML
M,1097MN,1097MV
M,1097MX,1097NV
M,1097NX,1097VZ
M,1097WB,1097WL
M,1097WN,1097WV
M,1097WX,1097ZZ
M,1098AA,1098CZ
M,1098EA,1098LZ
M,1098NA,1098SH
M,1098SK,1098TZ
M,1098VC,1098VK
M,1098VM,1098VM
M,1098VS,1098VZ
M,1098WB,1098WL
M,1098WN,1098WT
M,1098XA,1098XK
N,1021BM,1021BZ
N,1021CE,1021CZ
N,1021EA,1021GP
N,1021GS,1021GS
N,1021GV,1021GZ
N,1021HB,1021HC
N,1021HG,1021JZ
N,1021KB,1021KG
N,1021KL,1021KR
N,1021LA,1021LZ
N,1021NA,1021NB
N,1021ND,1021PA
N,1021PC,1021PK
N,1021PM,1021PT
N,1021PW,1021PX
N,1021RA,1021RB
N,1021TR,1021VZ
N,1022AB,1022BL
N,1022BN,1022BP
N,1022CA,1022CC
N,1022KB,1022KC
N,1022KE,1022KE
N,1022KH,1022KL
N,1022LB,1022LB
N,1022LD,1022LD
N,1022WV,1022WV
N,1022WX,1022XB
N,1022XD,1022XZ
N,1023AA,1023BV
N,1023BX,1023BX
N,1023CA,1023CX
N,1023EA,1023ER
N,1023NA,1023NP
N,1023NT,1023PB
N,1023SP,1023VZ
N,1023XA,1023XZ
N,1023ZB,1023ZE
N,1024AA,1024BX
N,1024CG,1024DC
N,1024EA,1024EA
N,1024EH,1024GZ
N,1024HL,1024LR
N,1024LT,1024LT
N,1024LW,1024MB
N,1024ME,1024MH
N,1024NA,1024PZ
N,1024RS,1024SP
N,1024TJ,1024VK
N,1024VR,1024VZ
N,1024WC,1024WC
N,1024WE,1024WE
N,1024XA,1024XB
N,1024XJ,1024XJ
N,1024XR,1024XS
N,1025AA,1025AT
N,1025AW,1025CD
N,1025CJ,1025KX
N,1025LA,1025LZ
N,1025MB,1025MC
N,1025ME,1025ML
N,1025MN,1025MV
N,1025MX,1025NV
N,1025NX,1025VS
N,1025VV,1025VZ
N,1025WB,1025WE
N,1025WH,1025WL
N,1025WN,1025WV
N,1025WX,1025XJ
N,1025XL,1025XL
N,1025XR,1025ZZ
N,1026BW,1026CR
N,1027AA,1027AZ
N,1027EA,1027EA
N,1027ED,1027EE
N,1027GB,1027GC
N,1027GE,1027GE
N,1028AX,1028BV
N,1031AA,1031CG
N,1031CJ,1031CL
N,1031CN,1031CX
N,1031DA,1031DB
N,1031EA,1031GH
N,1031GK,1031HH
N,1031HK,1031HR
N,1031HT,1031HX
N,1031JA,1031JE
N,1031KA,1031KD
N,1031KG,1031KG
N,1031KS,1031KT
N,1031TM,1031VZ
N,1031XA,1031XX
N,1032AA,1032CX
N,1032EA,1032EV
N,1032GA,1032KE
N,1032KH,1032KL
N,1032KN,1032KX
N,1032LA,1032LG
N,1032LJ,1032LJ
N,1032VA,1032VC
N,1032VS,1032VZ
N,1032XB,1032XZ
